instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_label,year_label
63,03/01/2011,Spring,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
64,03/01/2011,Spring,2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
65,03/01/2011,Spring,2011,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
66,03/01/2011,Spring,2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
67,03/01/2011,Spring,2011,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
68,03/01/2011,Spring,2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
69,03/01/2011,Spring,2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
70,04/01/2011,Spring,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
71,04/01/2011,Spring,2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
72,04/01/2011,Spring,2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
73,04/01/2011,Spring,2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
74,04/01/2011,Spring,2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
75,04/01/2011,Spring,2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
76,04/01/2011,Spring,2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
77,04/01/2011,Spring,2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
78,04/01/2011,Spring,2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
79,04/01/2011,Spring,2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
80,04/01/2011,Spring,2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
81,04/01/2011,Spring,2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
82,04/01/2011,Spring,2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
83,04/01/2011,Spring,2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
84,04/01/2011,Spring,2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
85,04/01/2011,Spring,2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
86,04/01/2011,Spring,2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
87,04/01/2011,Spring,2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
88,04/01/2011,Spring,2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
89,04/01/2011,Spring,2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
90,04/01/2011,Spring,2011,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
91,04/01/2011,Spring,2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
92,04/01/2011,Spring,2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,Spring,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,,
93,05/01/2011,Spring,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
94,05/01/2011,Spring,2011,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
95,05/01/2011,Spring,2011,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
96,05/01/2011,Spring,2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
97,05/01/2011,Spring,2011,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
98,05/01/2011,Spring,2011,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
99,05/01/2011,Spring,2011,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
100,05/01/2011,Spring,2011,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
101,05/01/2011,Spring,2011,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
102,05/01/2011,Spring,2011,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
103,05/01/2011,Spring,2011,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
104,05/01/2011,Spring,2011,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
105,05/01/2011,Spring,2011,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
106,05/01/2011,Spring,2011,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
107,05/01/2011,Spring,2011,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
108,05/01/2011,Spring,2011,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
109,05/01/2011,Spring,2011,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
110,05/01/2011,Spring,2011,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
111,05/01/2011,Spring,2011,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
112,05/01/2011,Spring,2011,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
113,05/01/2011,Spring,2011,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
114,05/01/2011,Spring,2011,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
115,05/01/2011,Spring,2011,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,5,Spring,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,,
116,06/01/2011,Spring,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
117,06/01/2011,Spring,2011,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
118,06/01/2011,Spring,2011,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
119,06/01/2011,Spring,2011,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
120,06/01/2011,Spring,2011,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
121,06/01/2011,Spring,2011,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
122,06/01/2011,Spring,2011,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
123,06/01/2011,Spring,2011,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
124,06/01/2011,Spring,2011,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
125,06/01/2011,Spring,2011,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
126,06/01/2011,Spring,2011,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
127,06/01/2011,Spring,2011,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
128,06/01/2011,Spring,2011,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
129,06/01/2011,Spring,2011,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
130,06/01/2011,Spring,2011,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
131,06/01/2011,Spring,2011,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
132,06/01/2011,Spring,2011,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
133,06/01/2011,Spring,2011,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
134,06/01/2011,Spring,2011,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
135,06/01/2011,Spring,2011,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
136,06/01/2011,Spring,2011,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,6,Spring,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,,
